stat;hard;koef_hard;line;public;prest;p2;p1_1;p1_2;punkt;fs1r64;fs1r64_05n;fs1r64_05x;fs1r64_06n;fs1r64_06x;fs1r64_09n;fs1r64_09x;fs1r64_12n;fs1r64_12x;fs1r64_11n;fs1r64_11x;fs1r64_01n;fs1r64_01x;fs1r65_o;fs1r65_n;fs1r65_02n;fs1r65_02x;d_izm;DATE_VERSION
сч57но25н85 л8ц0;;10;;;;0000000;‘акт криминального исчезновени€ не установлен;‘акт криминального исчезновени€ не установлен;;;;;;;;;;;;;;;;;;;  -   -;
—м5рть л8ц0;;20;;;;0010000;‘акт криминальной смерти не установлен;‘акт криминальной смерти не установлен;;;;;;;;;;;;;;;;;;;  -   -;
ст.99 ч.1;4;12430;1;;1;0990001;”бийство;јдам Щлтру;;01;;;;;;;;;;;8;15;;;;;  -   -;
ст.99 ч.1;4;12440;1;;1;0990001;”бийство;јдам Щлтру;;01;;;;;;;;;;;8;15;;;;;01-Jan-15;01-Jan-15
ст.99 ч.2;4;13640;1;;1;0990002;”бийство;јдам Щлтру;01,02,03,04,05,06,07,08,09,10,11,12,13,14,15;01,03;;;;;;;;;;;15;20;;01;;;  -   -;
ст.99 ч.2;4;13670;1;;1;0990002;”бийство;јдам Щлтру;01,02,03,04,05,06,07,08,09,10,11,12,13,14,15;01,03;;;;;;;;;;;15;20;;01;;;01-Jan-15;01-Jan-15
ст.99 ч.3;4;13850;1;;1;0990003;”бийство;јдам Щлтру;;01,03;;;;;;;;;;;20;20;22;01;;;11-Jan-20;11-Jan-20
ст.100;2;5130;1;;1;1000001;”бийство матерью новорожденного ребенка;∆аSа туCан баланы анасыныS Щлтру;;11,01;;;;;;;;;;4;;4;;;;;  -   -;
ст.101 ч.1;2;3900;1;;1;1010001;”бийство№ совершенное в состо€нии аффекта;јффект жаCдайында жасалCан адам Щлтру;;11,01;;;;;;;;;;3;;3;;;;;  -   -;
ст.101 ч.2;2;5670;1;;1;1010002;”бийство№ совершенное в состо€нии аффекта;јффект жаCдайында жасалCан адам Щлтру;;01;;;;;;;;;;;;5;;;;;  -   -;
ст.102;1;2290;1;;1;1020001;”бийство№ совершенное при превышении пределов необходимой обороны;Jажетт KорCаныс шегнен шыCу кезнде жасалCан адам Щлтру;;11,01;;;;;;;;;;2;;2;;;;;  -   -;
ст.103;2;3910;1;;1;1030001;”бийство№ совершенное при превышении мер№ необходимых дл€ задержани€ лица№ совершившего преступление;Jылмыс жасаCан адамды aстап алу _шн Kажетт шаралар шегнен шыCу кезнде жасалCан адам Щлтру;;11,01;;;;;;;;;;3;;3;;;;;  -   -;
ст.104 ч.1;1;3890;1;;1;1040001;ѕричинение смерти по неосторожности;јбайсызда KазаCа aшырату;;11,01;;;;;;;;;;3;;3;;;;;  -   -;
ст.104 ч.2;1;6000;1;;1;1040002;ѕричинение смерти по неосторожности;јбайсызда KазаCа aшырату;;11,01;;;;;;;;;;5;;5;;;;;  -   -;
